,Bus,Hour,Slot,LMP
"('Bus4', 17, 2)",Bus4,17,2,102.266666666667
"('Bus5', 17, 2)",Bus5,17,2,102.266666666667
"('Bus3', 17, 2)",Bus3,17,2,102.266666666667
"('Bus1', 17, 2)",Bus1,17,2,102.266666666667
"('Bus2', 17, 3)",Bus2,17,3,102.266666666667
"('Bus4', 17, 3)",Bus4,17,3,102.266666666667
"('Bus5', 17, 3)",Bus5,17,3,102.266666666667
"('Bus3', 17, 3)",Bus3,17,3,102.266666666667
"('Bus1', 17, 3)",Bus1,17,3,102.266666666667
"('Bus2', 17, 4)",Bus2,17,4,102.266666666667
"('Bus4', 17, 4)",Bus4,17,4,102.266666666667
"('Bus5', 17, 4)",Bus5,17,4,102.266666666667
"('Bus3', 17, 4)",Bus3,17,4,102.266666666667
"('Bus1', 17, 4)",Bus1,17,4,102.266666666667
"('Bus2', 17, 5)",Bus2,17,5,102.266666666667
"('Bus4', 17, 5)",Bus4,17,5,102.266666666667
"('Bus5', 17, 5)",Bus5,17,5,102.266666666667
"('Bus3', 17, 5)",Bus3,17,5,102.266666666667
"('Bus1', 17, 5)",Bus1,17,5,102.266666666667
"('Bus2', 17, 6)",Bus2,17,6,102.266666666667
"('Bus4', 17, 6)",Bus4,17,6,102.266666666667
"('Bus5', 17, 6)",Bus5,17,6,102.266666666667
"('Bus3', 17, 6)",Bus3,17,6,102.266666666667
"('Bus1', 17, 6)",Bus1,17,6,102.266666666667
"('Bus2', 18, 1)",Bus2,18,1,135.2
"('Bus4', 18, 1)",Bus4,18,1,135.2
"('Bus5', 18, 1)",Bus5,18,1,135.2
"('Bus3', 18, 1)",Bus3,18,1,135.2
"('Bus1', 18, 1)",Bus1,18,1,135.2
"('Bus2', 18, 2)",Bus2,18,2,135.2
"('Bus4', 18, 2)",Bus4,18,2,135.2
"('Bus5', 18, 2)",Bus5,18,2,135.2
"('Bus3', 18, 2)",Bus3,18,2,135.2
"('Bus1', 18, 2)",Bus1,18,2,135.2
"('Bus2', 18, 3)",Bus2,18,3,135.2
"('Bus4', 18, 3)",Bus4,18,3,135.2
"('Bus5', 18, 3)",Bus5,18,3,135.2
"('Bus3', 18, 3)",Bus3,18,3,135.2
"('Bus1', 18, 3)",Bus1,18,3,135.2
"('Bus2', 18, 4)",Bus2,18,4,135.2
"('Bus4', 18, 4)",Bus4,18,4,135.2
"('Bus5', 18, 4)",Bus5,18,4,135.2
"('Bus3', 18, 4)",Bus3,18,4,135.2
"('Bus1', 18, 4)",Bus1,18,4,135.2
"('Bus2', 18, 5)",Bus2,18,5,135.2
"('Bus4', 18, 5)",Bus4,18,5,135.2
"('Bus5', 18, 5)",Bus5,18,5,135.2
"('Bus3', 18, 5)",Bus3,18,5,135.2
"('Bus1', 18, 5)",Bus1,18,5,135.2
"('Bus2', 18, 6)",Bus2,18,6,135.2
"('Bus4', 18, 6)",Bus4,18,6,135.2
"('Bus5', 18, 6)",Bus5,18,6,135.2
"('Bus3', 18, 6)",Bus3,18,6,135.2
"('Bus1', 18, 6)",Bus1,18,6,135.2
"('Bus2', 19, 1)",Bus2,19,1,135.2
"('Bus4', 19, 1)",Bus4,19,1,135.2
"('Bus5', 19, 1)",Bus5,19,1,135.2
"('Bus3', 19, 1)",Bus3,19,1,135.2
"('Bus1', 19, 1)",Bus1,19,1,135.2
"('Bus2', 19, 2)",Bus2,19,2,135.2
"('Bus4', 19, 2)",Bus4,19,2,135.2
"('Bus5', 19, 2)",Bus5,19,2,135.2
"('Bus3', 19, 2)",Bus3,19,2,135.2
"('Bus1', 19, 2)",Bus1,19,2,135.2
"('Bus2', 19, 3)",Bus2,19,3,135.2
"('Bus4', 19, 3)",Bus4,19,3,135.2
"('Bus5', 19, 3)",Bus5,19,3,135.2
"('Bus3', 19, 3)",Bus3,19,3,135.2
"('Bus1', 19, 3)",Bus1,19,3,135.2
"('Bus2', 19, 4)",Bus2,19,4,135.2
"('Bus4', 19, 4)",Bus4,19,4,135.2
"('Bus5', 19, 4)",Bus5,19,4,135.2
"('Bus3', 19, 4)",Bus3,19,4,135.2
"('Bus1', 19, 4)",Bus1,19,4,135.2
"('Bus2', 19, 5)",Bus2,19,5,135.2
"('Bus4', 19, 5)",Bus4,19,5,135.2
"('Bus5', 19, 5)",Bus5,19,5,135.2
"('Bus3', 19, 5)",Bus3,19,5,135.2
"('Bus1', 19, 5)",Bus1,19,5,135.2
"('Bus2', 19, 6)",Bus2,19,6,135.2
"('Bus4', 19, 6)",Bus4,19,6,135.2
"('Bus5', 19, 6)",Bus5,19,6,135.2
"('Bus3', 19, 6)",Bus3,19,6,135.2
"('Bus1', 19, 6)",Bus1,19,6,135.2
"('Bus2', 20, 1)",Bus2,20,1,135.2
"('Bus4', 20, 1)",Bus4,20,1,135.2
"('Bus5', 20, 1)",Bus5,20,1,135.2
"('Bus3', 20, 1)",Bus3,20,1,135.2
"('Bus1', 20, 1)",Bus1,20,1,135.2
"('Bus2', 20, 2)",Bus2,20,2,135.2
"('Bus4', 20, 2)",Bus4,20,2,135.2
"('Bus5', 20, 2)",Bus5,20,2,135.2
"('Bus3', 20, 2)",Bus3,20,2,135.2
"('Bus1', 20, 2)",Bus1,20,2,135.2
"('Bus2', 20, 3)",Bus2,20,3,135.2
"('Bus4', 20, 3)",Bus4,20,3,135.2
"('Bus5', 20, 3)",Bus5,20,3,135.2
"('Bus3', 20, 3)",Bus3,20,3,135.2
"('Bus1', 20, 3)",Bus1,20,3,135.2
"('Bus2', 20, 4)",Bus2,20,4,135.2
"('Bus4', 20, 4)",Bus4,20,4,135.2
"('Bus5', 20, 4)",Bus5,20,4,135.2
"('Bus3', 20, 4)",Bus3,20,4,135.2
"('Bus1', 20, 4)",Bus1,20,4,135.2
"('Bus2', 20, 5)",Bus2,20,5,135.2
"('Bus4', 20, 5)",Bus4,20,5,135.2
"('Bus5', 20, 5)",Bus5,20,5,135.2
"('Bus3', 20, 5)",Bus3,20,5,135.2
"('Bus1', 20, 5)",Bus1,20,5,135.2
"('Bus2', 20, 6)",Bus2,20,6,135.2
"('Bus4', 20, 6)",Bus4,20,6,135.2
"('Bus5', 20, 6)",Bus5,20,6,135.2
"('Bus3', 20, 6)",Bus3,20,6,135.2
"('Bus1', 20, 6)",Bus1,20,6,135.2
"('Bus2', 21, 1)",Bus2,21,1,102.266666666667
"('Bus4', 21, 1)",Bus4,21,1,102.266666666667
"('Bus5', 21, 1)",Bus5,21,1,102.266666666667
"('Bus3', 21, 1)",Bus3,21,1,102.266666666667
"('Bus1', 21, 1)",Bus1,21,1,102.266666666667
"('Bus2', 21, 2)",Bus2,21,2,102.266666666667
"('Bus4', 21, 2)",Bus4,21,2,102.266666666667
"('Bus5', 21, 2)",Bus5,21,2,102.266666666667
"('Bus3', 21, 2)",Bus3,21,2,102.266666666667
"('Bus1', 21, 2)",Bus1,21,2,102.266666666667
"('Bus2', 21, 3)",Bus2,21,3,102.266666666667
"('Bus4', 21, 3)",Bus4,21,3,102.266666666667
"('Bus5', 21, 3)",Bus5,21,3,102.266666666667
"('Bus3', 21, 3)",Bus3,21,3,102.266666666667
"('Bus1', 21, 3)",Bus1,21,3,102.266666666667
"('Bus2', 21, 4)",Bus2,21,4,102.266666666667
"('Bus4', 21, 4)",Bus4,21,4,102.266666666667
"('Bus5', 21, 4)",Bus5,21,4,102.266666666667
"('Bus3', 21, 4)",Bus3,21,4,102.266666666667
"('Bus1', 21, 4)",Bus1,21,4,102.266666666667
"('Bus2', 21, 5)",Bus2,21,5,102.266666666667
"('Bus4', 21, 5)",Bus4,21,5,102.266666666667
"('Bus5', 21, 5)",Bus5,21,5,102.266666666667
"('Bus3', 21, 5)",Bus3,21,5,102.266666666667
"('Bus1', 21, 5)",Bus1,21,5,102.266666666667
"('Bus2', 21, 6)",Bus2,21,6,102.266666666667
"('Bus4', 21, 6)",Bus4,21,6,102.266666666667
"('Bus5', 21, 6)",Bus5,21,6,102.266666666667
"('Bus3', 21, 6)",Bus3,21,6,102.266666666667
"('Bus1', 21, 6)",Bus1,21,6,102.266666666667
"('Bus2', 22, 1)",Bus2,22,1,65.0
"('Bus4', 22, 1)",Bus4,22,1,65.0
"('Bus5', 22, 1)",Bus5,22,1,65.0
"('Bus3', 22, 1)",Bus3,22,1,65.0
"('Bus1', 22, 1)",Bus1,22,1,65.0
"('Bus2', 22, 2)",Bus2,22,2,65.0
"('Bus4', 22, 2)",Bus4,22,2,65.0
"('Bus5', 22, 2)",Bus5,22,2,65.0
"('Bus3', 22, 2)",Bus3,22,2,65.0
"('Bus1', 22, 2)",Bus1,22,2,65.0
"('Bus2', 22, 3)",Bus2,22,3,65.0
"('Bus4', 22, 3)",Bus4,22,3,65.0
"('Bus5', 22, 3)",Bus5,22,3,65.0
"('Bus3', 22, 3)",Bus3,22,3,65.0
"('Bus1', 22, 3)",Bus1,22,3,65.0
"('Bus2', 22, 4)",Bus2,22,4,102.266666666667
"('Bus4', 22, 4)",Bus4,22,4,102.266666666667
"('Bus5', 22, 4)",Bus5,22,4,102.266666666667
"('Bus3', 22, 4)",Bus3,22,4,102.266666666667
"('Bus1', 22, 4)",Bus1,22,4,102.266666666667
"('Bus2', 22, 5)",Bus2,22,5,102.266666666667
"('Bus4', 22, 5)",Bus4,22,5,102.266666666667
"('Bus5', 22, 5)",Bus5,22,5,102.266666666667
"('Bus3', 22, 5)",Bus3,22,5,102.266666666667
"('Bus1', 22, 5)",Bus1,22,5,102.266666666667
"('Bus2', 22, 6)",Bus2,22,6,102.266666666667
"('Bus4', 22, 6)",Bus4,22,6,102.266666666667
"('Bus5', 22, 6)",Bus5,22,6,102.266666666667
"('Bus3', 22, 6)",Bus3,22,6,102.266666666667
"('Bus1', 22, 6)",Bus1,22,6,102.266666666667
"('Bus2', 23, 1)",Bus2,23,1,65.0
"('Bus4', 23, 1)",Bus4,23,1,65.0
"('Bus5', 23, 1)",Bus5,23,1,65.0
"('Bus3', 23, 1)",Bus3,23,1,65.0
"('Bus1', 23, 1)",Bus1,23,1,65.0
"('Bus2', 23, 2)",Bus2,23,2,65.0
"('Bus4', 23, 2)",Bus4,23,2,65.0
"('Bus5', 23, 2)",Bus5,23,2,65.0
"('Bus3', 23, 2)",Bus3,23,2,65.0
"('Bus1', 23, 2)",Bus1,23,2,65.0
"('Bus2', 23, 3)",Bus2,23,3,65.0
"('Bus4', 23, 3)",Bus4,23,3,65.0
"('Bus5', 23, 3)",Bus5,23,3,65.0
"('Bus3', 23, 3)",Bus3,23,3,65.0
"('Bus1', 23, 3)",Bus1,23,3,65.0
"('Bus2', 23, 4)",Bus2,23,4,28.0
"('Bus4', 23, 4)",Bus4,23,4,28.0
"('Bus5', 23, 4)",Bus5,23,4,28.0
"('Bus3', 23, 4)",Bus3,23,4,28.0
"('Bus1', 23, 4)",Bus1,23,4,28.0
"('Bus2', 23, 5)",Bus2,23,5,28.0
"('Bus4', 23, 5)",Bus4,23,5,28.0
"('Bus5', 23, 5)",Bus5,23,5,28.0
"('Bus3', 23, 5)",Bus3,23,5,28.0
"('Bus1', 23, 5)",Bus1,23,5,28.0
"('Bus2', 23, 6)",Bus2,23,6,65.0
"('Bus4', 23, 6)",Bus4,23,6,65.0
"('Bus5', 23, 6)",Bus5,23,6,65.0
"('Bus3', 23, 6)",Bus3,23,6,65.0
"('Bus1', 23, 6)",Bus1,23,6,65.0
"('Bus2', 24, 1)",Bus2,24,1,28.0
"('Bus4', 24, 1)",Bus4,24,1,28.0
"('Bus5', 24, 1)",Bus5,24,1,28.0
"('Bus3', 24, 1)",Bus3,24,1,28.0
"('Bus1', 24, 1)",Bus1,24,1,28.0
"('Bus2', 24, 2)",Bus2,24,2,65.0
"('Bus4', 24, 2)",Bus4,24,2,65.0
"('Bus5', 24, 2)",Bus5,24,2,65.0
"('Bus3', 24, 2)",Bus3,24,2,65.0
"('Bus1', 24, 2)",Bus1,24,2,65.0
"('Bus2', 24, 3)",Bus2,24,3,28.0
"('Bus4', 24, 3)",Bus4,24,3,28.0
"('Bus5', 24, 3)",Bus5,24,3,28.0
"('Bus3', 24, 3)",Bus3,24,3,28.0
"('Bus1', 24, 3)",Bus1,24,3,28.0
"('Bus2', 24, 4)",Bus2,24,4,28.0
"('Bus4', 24, 4)",Bus4,24,4,28.0
"('Bus5', 24, 4)",Bus5,24,4,28.0
"('Bus3', 24, 4)",Bus3,24,4,28.0
"('Bus1', 24, 4)",Bus1,24,4,28.0
"('Bus2', 24, 5)",Bus2,24,5,28.0
"('Bus4', 24, 5)",Bus4,24,5,28.0
"('Bus5', 24, 5)",Bus5,24,5,28.0
"('Bus3', 24, 5)",Bus3,24,5,28.0
"('Bus1', 24, 5)",Bus1,24,5,28.0
"('Bus2', 24, 6)",Bus2,24,6,28.0
"('Bus4', 24, 6)",Bus4,24,6,28.0
"('Bus5', 24, 6)",Bus5,24,6,28.0
"('Bus3', 24, 6)",Bus3,24,6,28.0
"('Bus1', 24, 6)",Bus1,24,6,28.0
